,ID,Gender,OnBoardPeakSeason,LeavePeakSeason,Turn,DormAreaCount,SalaryBonusMean,SalaryMean,LastMonthSalaryBonus,LastMonthSalary,LastMonthSalaryPct,LastMonthSalaryBonusPct,WorkOnRestDay,ShiftRatio,LiveDormRatio,WorkHourMean,AgeRange_<=20,AgeRange_21-30,AgeRange_31-40,AreaName_EastChina,AreaName_NorthChina,AreaName_NortheastChina,AreaName_NorthwestChina,AreaName_SouthCentralChina,AreaName_SouthwestChina,OnBoardMonth_01,OnBoardMonth_02,OnBoardMonth_03,OnBoardMonth_04,OnBoardMonth_05,OnBoardMonth_06,OnBoardMonth_07,OnBoardMonth_08,OnBoardMonth_09,OnBoardMonth_10,OnBoardMonth_11,OriRecruitCat_B,OriRecruitCat_C,OriContractCat_B,OriContractCat_C,DormAreaMost_A,DormAreaMost_B,DormAreaMost_C,DormAreaMost_D,DormAreaMost_E,DormAreaMost_F,DormAreaMost_G,DormAreaMost_H,DormAreaMost_I,DormAreaMost_J,DormAreaMost_K,DormAreaMost_L,DormAreaMost_M,DormAreaMost_N,DormAreaMost_O,ShiftCategoryMost_A,ShiftCategoryMost_B,ShiftCategoryMost_C,ShiftCategoryMost_D,ShiftCategoryMost_E,ShiftCategoryMost_F,ShiftCategoryMost_G,TotalDay,Quit
370,10370,1,0,1,1,1,0.122145511,1.014366275,0.098775834,0.701224291,0.53045903,0.613152805,0.313131313,0.666666667,0.98989899,11.33333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,1
371,10371,1,0,0,1,1,0.13305136,0.930750039,0.114355619,0.092877328,0.086568482,0.709864603,0.3125,0.453125,1,11.17821782,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,126,1
372,10372,0,0,0,1,1,0.145515188,0.968454987,0.207834326,0.937229983,0.886081767,1.290135397,0.307692308,0.503496503,0.986013986,10.95575221,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,141,1
373,10373,0,0,0,1,2,0.145515188,0.925300542,0.207834326,0.854638429,0.828184069,1.290135397,0.295774648,0.591549296,0.985915493,11.43859649,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,140,1
374,10374,1,0,1,1,2,0.196149487,1.222271099,0.112116253,0.510929233,0.860290116,0.848264518,0.322263223,0.506765068,0.998769988,11.77251185,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0
375,10375,1,0,0,0,1,0.145515188,0.948789144,0.207834326,0.908052162,0.790919972,1.290135397,0.309859155,0.507042254,0.992957746,11.02586207,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
376,10376,1,0,0,0,1,0.129935403,1.002858267,0.098775834,0.355353074,0.348801219,0.613152805,0.31496063,0.566929134,0.984251969,11.3047619,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1
377,10377,1,0,0,0,1,0.098775834,0.272998333,0.098775834,0.272998333,0.860290116,0.848264518,0.266666667,0.133333333,0.666666667,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,1
378,10378,1,0,0,0,1,0.129935403,0.96550106,0.098775834,0.245849,0.263604533,0.613152805,0.32231405,0.537190083,0.991735537,10.94897959,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,119,1
379,10379,0,0,1,0,1,0.122145511,1.032744968,0.098775834,0.416058146,0.267162208,0.613152805,0.337078652,0.235955056,0.988764045,11.46052632,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,88,1
